experiment,accuracy,auc,edge_pp,edge_t,folds_won,ece,acc@10%,edge@10%,t@10%
sel_70feat,0.5107,0.5148,0.6136,1.9749,5.0,1.8653,0.5421,1.5098,1.0471
sel70_tighter,0.5095,0.5144,0.4909,1.8809,6.0,1.7436,0.5339,0.9234,0.7696
base_200feat,0.5087,0.514,0.4187,1.617,5.0,1.8375,0.5387,0.8857,0.6765
sel70_lowcols,0.5114,0.5138,0.6813,2.6691,6.0,1.6349,0.5189,0.3106,0.23
sel_100feat,0.5105,0.5136,0.5962,1.6332,6.0,1.7863,0.5259,0.7809,0.7046
tighter_trees,0.5089,0.5136,0.4328,1.3836,6.0,1.8739,0.5325,1.2741,0.8302
sel_40feat,0.5093,0.5135,0.4719,1.9085,7.0,1.7317,0.5364,1.2854,0.9001
slower_more,0.5094,0.5135,0.4864,2.1351,6.0,1.5076,0.5325,1.103,1.0817
looser_trees,0.5078,0.5095,0.3265,1.2712,5.0,1.6374,0.5272,0.8863,0.7591
