target,base,acc,auc,edge_pp,edge_t,won,ece,acc@10%,edge@10%,t@10%
y_rel,0.5045474126391984,0.511,0.515,0.6498,1.98,5.0,1.6903,0.5405,1.1684,1.0367
y_rel_3d,0.5045684450639283,0.4998,0.5,-0.4722,-1.5376,2.0,1.738,0.5113,0.5135,0.6765
y_rel_5d,0.5046683007406447,0.5012,0.4987,-0.343,-0.6003,4.0,2.7798,0.5132,1.5697,1.7777
y_rel_10d,0.5042654929234132,0.4929,0.4846,-1.1403,-2.9112,1.0,2.9847,0.4825,0.3668,0.1914
y_rel_20d,0.5042056946463681,0.4917,0.493,-1.2525,-2.1097,2.0,3.8542,0.5054,0.4449,0.2246
y_dir,0.5174673765141093,0.5121,0.5073,-0.5318,-0.7591,5.0,5.7749,0.5454,-2.2613,-1.1663
y_dir_5d,0.5578147861184075,0.5396,0.4995,-1.8233,-1.693,0.0,8.8328,0.4857,1.2557,0.3389
y_dir_20d,0.6111320079298365,0.5506,0.5079,-6.0498,-2.5476,0.0,12.9296,0.4917,-16.1598,-2.2215
y_gap,0.6345084707126095,0.6356,0.5048,0.1066,1.2632,2.0,6.8017,0.5231,-7.5674,-2.8053
